ZCTA,city,logOR,SE,pov_percent,nohsgradpercent,NDI,outcome_sum
30002,ATL,0.028414665,0.016172548,18.62451917,7.481281705,0.424937741,164
30004,ATL,0.009245231,0.007617263,4.735392277,4.559880279,-1.572635206,773
30005,ATL,0.00929389,0.010797114,2.676522497,2.606826322,-1.909373188,382
30008,ATL,0.004249011,0.006505153,16.07961459,20.19003624,0.610128951,1053
30011,ATL,0.010489153,0.010629762,8.277678013,14.44387114,-0.370644004,489
30012,ATL,0.007238489,0.006383036,18.8249809,26.44213126,1.007228469,999
30013,ATL,0.008571143,0.00728057,9.459835117,11.34247375,-0.185844578,733
30014,ATL,-0.004970648,0.007261696,15.52230911,23.91246012,0.656391101,802
30016,ATL,0.000474991,0.006065656,12.1384935,16.99055705,0.273043947,1198
30017,ATL,0.003786266,0.009618729,3.494278133,5.677121218,-1.317537712,457
30019,ATL,0.009101065,0.007411329,6.478579328,9.10962266,-1.080382042,883
30021,ATL,0.007011105,0.00814818,30.29320697,23.53903975,1.964243732,709
30022,ATL,-0.005410001,0.00855471,3.518069822,3.212898284,-1.59824072,647
30024,ATL,0.008957596,0.006632928,4.026953117,4.225110391,-1.653025985,995
30025,ATL,0.026389742,0.015141331,12.51369175,20.04330867,0.041306843,266
30028,ATL,0.052328383,0.022908341,6.775494884,11.5813753,-0.888843662,133
30030,ATL,0.000565848,0.008818784,13.33874338,8.799637668,-0.187695958,566
30032,ATL,-0.002361267,0.003677657,22.85558038,21.21176658,1.6598213,2969
30033,ATL,0.017383808,0.012012531,11.9546799,6.326861682,-0.478524654,313
30034,ATL,0.002137356,0.004561976,14.93490044,10.2283113,0.585246586,1940
30035,ATL,-0.002669776,0.006597337,16.6554023,14.52734747,0.820795152,958
30038,ATL,-0.002118461,0.005778136,12.89930952,7.566474654,0.219071399,1254
30039,ATL,0.005441473,0.005849547,7.032176832,7.840135875,-0.744598189,1242
30040,ATL,0.00970867,0.00661817,7.987459217,13.98697456,-0.790710286,1138
30041,ATL,0.009572246,0.007748637,5.593530455,9.84394699,-1.211583774,850
30043,ATL,0.002343912,0.0048732,6.623334138,9.568358264,-0.939475216,1948
30044,ATL,0.000713274,0.004273357,10.698994,14.32532532,-0.315365595,2236
30045,ATL,0.003157768,0.004435442,5.913865588,10.01337028,-0.964839231,2339
30047,ATL,0.005044965,0.005708501,9.405852615,12.15508674,-0.613443198,1181
30052,ATL,0.003574665,0.005338815,8.045518456,12.71278198,-0.547459293,1568
30054,ATL,0.013524175,0.014604627,8.667097937,16.17548548,-0.451964959,217
30058,ATL,0.005855593,0.004148851,14.31751123,10.14302219,0.478345961,2429
30060,ATL,0.00983543,0.005527297,21.0207206,29.6685755,1.278847302,1475
30062,ATL,0.005815134,0.007245011,5.668437282,5.438597084,-1.136258107,834
30064,ATL,0.005320577,0.007535692,8.637098424,8.176340232,-0.858870204,746
30066,ATL,-0.011476265,0.008112006,5.065647889,6.130853975,-1.238721206,686
30067,ATL,0.007493787,0.006549074,14.66842776,9.249637218,-0.135757743,1046
30068,ATL,0.008782639,0.011061848,4.222459255,2.818520145,-1.497383911,375
30071,ATL,0.004727769,0.009731901,21.95382739,30.58167156,0.887035779,471
30075,ATL,0.01762636,0.009119787,4.354591184,4.947919518,-1.558737998,556
30076,ATL,0.006087898,0.008741574,9.305579693,10.04276842,-0.813517863,602
30078,ATL,0.009979973,0.006281891,7.752191499,7.711834459,-0.783588509,1015
30079,ATL,0.015170209,0.012992626,39.87474737,18.33899306,2.47627268,270
30080,ATL,-0.007554626,0.007250696,11.92224807,9.9964767,-0.369499979,877
30082,ATL,0.002199322,0.009157541,16.06508142,12.6414692,-0.191365661,538
30083,ATL,0.006502771,0.004379935,16.18024797,12.31607238,0.656252202,2140
30084,ATL,0.008774559,0.008160417,11.0029966,13.18780132,-0.262792695,640
30087,ATL,0.003299393,0.006258087,8.381055852,5.930025312,-0.704472979,1019
30088,ATL,0.002214669,0.005982022,11.23782127,9.029957045,0.127619382,1154
30092,ATL,0.013404857,0.008301393,11.39968806,7.190825556,-0.502215003,658
30093,ATL,0.004382084,0.006180868,22.57992915,30.84027224,1.239010483,1175
30094,ATL,-0.001925213,0.007482012,6.256208935,10.08362121,-0.613010284,671
30096,ATL,-0.008763676,0.005817768,12.73973421,10.29901302,-0.216309836,1320
30097,ATL,0.011895825,0.009857764,6.639029402,3.62243513,-1.525298712,522
30101,ATL,0.003671779,0.007036215,6.531246974,10.66236074,-0.948331645,880
30102,ATL,0.005760535,0.007026638,9.569116824,13.36877327,-0.532429578,917
30103,ATL,0.051461166,0.021481585,14.76856168,25.18953125,0.493922439,141
30106,ATL,-0.007406447,0.00810417,11.84667478,15.54391458,0.180581934,634
30107,ATL,-0.017491705,0.013022445,5.946692622,19.29260421,-0.536478797,307
30108,ATL,-0.009073704,0.015796737,16.89107872,27.21541642,0.789771004,245
30110,ATL,0.005902352,0.022173474,17.71988357,29.57227594,1.016055547,109
